i,t,Dt,x,Dx
0,0.000,0.005,0.000,0.005
1,0.014,0.005,0.001,0.005
2,0.025,0.005,0.001,0.005
3,0.042,0.005,0.003,0.005
4,0.060,0.005,0.004,0.005
5,0.072,0.005,0.008,0.005
6,0.088,0.005,0.010,0.005
7,0.102,0.005,0.013,0.005
8,0.115,0.005,0.018,0.005
9,0.132,0.005,0.022,0.005
10,0.154,0.005,0.030,0.005
11,0.165,0.005,0.034,0.005
12,0.184,0.005,0.044,0.005
13,0.196,0.005,0.049,0.005
14,0.212,0.005,0.059,0.006
15,0.222,0.005,0.065,0.006
16,0.243,0.005,0.076,0.006
17,0.260,0.005,0.087,0.006
18,0.267,0.005,0.091,0.006
19,0.281,0.005,0.103,0.006
20,0.304,0.005,0.119,0.006
21,0.313,0.005,0.128,0.006
22,0.334,0.005,0.145,0.006
23,0.340,0.005,0.150,0.007
24,0.356,0.005,0.166,0.007
25,0.378,0.005,0.186,0.007
26,0.387,0.005,0.196,0.007
27,0.408,0.005,0.216,0.007
28,0.421,0.005,0.230,0.007
29,0.437,0.005,0.249,0.007
30,0.450,0.005,0.264,0.008
31,0.461,0.005,0.278,0.008
32,0.482,0.005,0.303,0.008
33,0.497,0.005,0.321,0.008
34,0.505,0.005,0.330,0.008
35,0.526,0.005,0.359,0.009
36,0.543,0.005,0.383,0.009
37,0.555,0.005,0.400,0.009
38,0.568,0.005,0.421,0.009
39,0.585,0.005,0.446,0.009
40,0.595,0.005,0.461,0.010
41,0.614,0.005,0.490,0.010
42,0.633,0.005,0.520,0.010
